Crash ID,State,Date,Day,Month,Year,Dayweek,Time,Hour,Min,Crash Type,BusInvolvement,"RigidTruck 
Involvement","Articulated Truck 
Involvement ",SpeedLimit,RoadUser,Gender,Age
1.2016E+12,NSW,21-Feb-16,21,February,2016,Sunday,13:51,13,51,Single vehicle,No,No,No,60,Motorcycle rider,Male,42
2.2016E+12,VIC,21-Feb-16,21,February,2016,Sunday,16:15,16,15,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,60
2.2016E+12,VIC,21-Feb-16,21,February,2016,Sunday,12:20,12,20,Multiple vehicle,No,No,No,80,Motorcycle rider,Male,36
3.2016E+12,QLD,21-Feb-16,21,February,2016,Sunday,9:00,9,0,Multiple vehicle,No,No,No,80,Motorcycle rider,Male,58
2.2016E+12,VIC,22-Feb-16,22,February,2016,Monday,17:17,17,17,Single vehicle,No,No,No,100,Driver,Female,28
3.2016E+12,QLD,22-Feb-16,22,February,2016,Monday,6:00,6,0,Multiple vehicle,No,No,Yes,100,Driver,Male,30
1.2016E+12,NSW,23-Feb-16,23,February,2016,Tuesday,6:30,6,30,Pedestrian,No,No,Yes,50,Pedestrian,Male,80
2.2016E+12,VIC,23-Feb-16,23,February,2016,Tuesday,6:30,6,30,Multiple vehicle,No,No,No,80,Motorcycle rider,Male,61
1.2016E+12,NSW,24-Feb-16,24,February,2016,Wednesday,3:35,3,35,Single vehicle,No,No,No,60,Driver,Male,20
1.2016E+12,NSW,24-Feb-16,24,February,2016,Wednesday,3:35,3,35,Single vehicle,No,No,No,60,Passenger,Male,20
1.2016E+12,NSW,24-Feb-16,24,February,2016,Wednesday,12:00,12,0,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,60
2.2016E+12,VIC,24-Feb-16,24,February,2016,Wednesday,9:30,9,30,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,39
2.2016E+12,VIC,24-Feb-16,24,February,2016,Wednesday,16:13,16,13,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,56
3.2016E+12,QLD,24-Feb-16,24,February,2016,Wednesday,0:00,0,0,Single vehicle,No,No,No,100,Driver,Female,26
7.2016E+12,NT,24-Feb-16,24,February,2016,Wednesday,20:20,20,20,Pedestrian,No,No,No,100,Pedestrian,Female,35
1.2016E+12,NSW,25-Feb-16,25,February,2016,Thursday,10:20,10,20,Multiple vehicle,No,No,No,80,Motorcycle rider,Male,44
